time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
849,439,0,0.9958295000000004,21.95,20,0.02324625,,,
1522,1553,1,0.9852464999999998,38.825,40,0.0338903,,,
1217,2060,1,0.9804300000000005,34.333333333333336,60,0.02607961666666667,,,
1381,2978,2,0.9717089999999997,37.225,80,0.0346251375,,,
1289,3389,2,0.9678045000000003,33.89,100,0.030638959999999996,,,
1332,4362,3,0.9585610000000002,39.23,120,0.037367229999999994,,,
1403,5038,3,0.9521390000000001,34.85,140,0.035173300000000005,,,
1394,5617,4,0.9466385000000002,35.57,160,0.037142440000000006,,,
1388,6070,4,0.9423349999999998,30.92,180,0.02941201,,,
1409,6586,4,0.9374330000000002,31.97,200,0.03381819,,,
1420,7700,5,0.9268499999999996,33.38,220,0.03558559,,,
1422,8138,5,0.9226890000000002,31.0,240,0.034233160000000006,,,
1331,8644,6,0.9178820000000001,30.27,260,0.03707589,,,
1319,9074,6,0.9137969999999997,30.04,280,0.034790270000000005,,,
1300,9607,7,0.9087334999999997,30.21,300,0.03185073,,,
1081,10373,9,0.9014565000000003,26.73,320,0.02730874,,,
1099,10912,9,0.8963359999999997,27.74,340,0.026933810000000006,,,
1118,11466,10,0.8910730000000002,28.22,360,0.02413262,,,
1148,12138,10,0.8846890000000002,30.64,380,0.02861602,,,
1171,12788,10,0.8785139999999998,31.81,400,0.03069079,,,
1181,13623,11,0.8705814999999996,32.5,420,0.02930021,,,
1185,14202,11,0.8650809999999995,32.9,440,0.02935264,,,
1172,14783,12,0.8595615000000001,33.17,460,0.02965608,,,
1193,15467,12,0.8530635,33.29,480,0.029081120000000002,,,
1204,16021,13,0.8478005000000004,32.33,500,0.03161354,,,
1200,16669,13,0.8416444999999996,30.46,520,0.029390760000000002,,,
1220,17447,14,0.8342535000000001,32.45,540,0.03723578000000001,,,
1225,17947,14,0.8295034999999995,31.64,560,0.036302390000000004,,,
1239,18497,14,0.8242785000000001,30.3,580,0.03376178,,,
1264,19327,15,0.8163935000000002,33.06,600,0.031162319999999993,,,
1272,19863,15,0.8113015000000003,31.94,620,0.03488382,,,
1280,20624,16,0.8040720000000002,31.77,640,0.030007290000000006,,,
