Reward;Algorithm;Hyperparameter
1.656009999999999982e-01;A2C;Default
1.434459999999999902e-01;A2C;Default
1.031610000000000027e-01;A2C;Default
1.434459999999999902e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.641209999999999891e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.342279999999999862e-01;A2C;Default
1.334210000000000118e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.300870000000000082e-01;A2C;Default
1.497739999999999905e-01;A2C;Default
2.656499999999999972e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.350399999999999934e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.273799999999999932e-01;A2C;Default
1.137149999999999966e-01;A2C;Default
1.274359999999999937e-01;A2C;Default
1.006790000000000046e-01;A2C;Default
1.434459999999999902e-01;A2C;Default
1.128429999999999989e-01;A2C;Default
1.434459999999999902e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
2.779389999999999916e-01;A2C;Default
1.389459999999999862e-01;A2C;Default
1.400810000000000111e-01;A2C;Default
1.371169999999999889e-01;A2C;Default
1.434459999999999902e-01;A2C;Default
1.256420000000000037e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.684539999999999926e-01;A2C;Default
1.434459999999999902e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
2.733070000000000221e-01;A2C;Default
2.962139999999999773e-01;A2C;Default
1.449459999999999915e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.159570000000000045e-01;A2C;Default
1.285779999999999978e-01;A2C;Default
1.434459999999999902e-01;A2C;Default
1.101260000000000017e-01;A2C;Default
1.266349999999999976e-01;A2C;Default
1.434459999999999902e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
1.439459999999999906e-01;A2C;Default
