Reward;Algorithm;Hyperparameter
8.653929999999999678e-01;A2C;Optimized
8.440950000000000397e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.449349999999999916e-01;A2C;Optimized
1.044238000000000000e+00;A2C;Optimized
8.448930000000000051e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
1.044516999999999918e+00;A2C;Optimized
8.348539999999999850e-01;A2C;Optimized
8.442060000000000120e-01;A2C;Optimized
8.443929999999999492e-01;A2C;Optimized
8.387780000000000236e-01;A2C;Optimized
8.438930000000000042e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.337080000000000046e-01;A2C;Optimized
8.418879999999999697e-01;A2C;Optimized
8.443929999999999492e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.429299999999999571e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.491149999999999531e-01;A2C;Optimized
8.338929999999999954e-01;A2C;Optimized
1.050083000000000100e+00;A2C;Optimized
5.212189999999999879e-01;A2C;Optimized
3.433640000000000025e-01;A2C;Optimized
1.041074999999999973e+00;A2C;Optimized
8.333099999999999952e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.496139999999999803e-01;A2C;Optimized
8.438930000000000042e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
8.467999999999999972e-01;A2C;Optimized
8.438930000000000042e-01;A2C;Optimized
8.433929999999999483e-01;A2C;Optimized
6.286979999999999791e-01;A2C;Optimized
6.379500000000000171e-01;A2C;Optimized
6.433579999999999854e-01;A2C;Optimized
6.323640000000000372e-01;A2C;Optimized
8.438489999999999602e-01;A2C;Optimized
8.443929999999999492e-01;A2C;Optimized
8.367930000000000090e-01;A2C;Optimized
