Reward;Algorithm;Hyperparameter
8.452530000000000321e-01;DQN;Default
5.389779999999999571e-01;DQN;Default
8.260229999999999517e-01;DQN;Default
5.429779999999999607e-01;DQN;Default
2.536050000000000249e-01;DQN;Default
5.359779999999999545e-01;DQN;Default
2.556680000000000064e-01;DQN;Default
1.030788999999999955e+00;DQN;Default
5.394780000000000131e-01;DQN;Default
5.163759999999999462e-01;DQN;Default
5.369779999999999553e-01;DQN;Default
8.369050000000000100e-01;DQN;Default
5.293679999999999497e-01;DQN;Default
5.364780000000000104e-01;DQN;Default
1.068769999999999998e-01;DQN;Default
6.380540000000000100e-01;DQN;Default
3.570909999999999918e-01;DQN;Default
3.657119999999999815e-01;DQN;Default
6.406880000000000353e-01;DQN;Default
5.233569999999999611e-01;DQN;Default
5.389779999999999571e-01;DQN;Default
8.459919999999999662e-01;DQN;Default
5.221329999999999583e-01;DQN;Default
5.359779999999999545e-01;DQN;Default
6.497870000000000035e-01;DQN;Default
1.049252999999999991e+00;DQN;Default
5.384780000000000122e-01;DQN;Default
8.516770000000000174e-01;DQN;Default
5.168739999999999446e-01;DQN;Default
3.476839999999999931e-01;DQN;Default
8.351429999999999687e-01;DQN;Default
1.044866000000000072e+00;DQN;Default
5.064189999999999525e-01;DQN;Default
5.384780000000000122e-01;DQN;Default
5.389779999999999571e-01;DQN;Default
5.389779999999999571e-01;DQN;Default
1.040726000000000040e+00;DQN;Default
1.042491999999999974e+00;DQN;Default
1.035765000000000047e+00;DQN;Default
-1.459999999999999981e-04;DQN;Default
5.275830000000000242e-01;DQN;Default
8.445679999999999854e-01;DQN;Default
5.409779999999999589e-01;DQN;Default
5.389779999999999571e-01;DQN;Default
5.389779999999999571e-01;DQN;Default
6.349780000000000424e-01;DQN;Default
5.369779999999999553e-01;DQN;Default
5.389779999999999571e-01;DQN;Default
-1.291699999999999966e-02;DQN;Default
5.339779999999999527e-01;DQN;Default
