Reward;Algorithm;Hyperparameter
6.538939999999999753e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
5.318640000000000034e-01;PPO;Default
1.029431999999999903e+00;PPO;Default
6.559160000000000545e-01;PPO;Default
8.416230000000000100e-01;PPO;Default
3.792139999999999955e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
8.316310000000000091e-01;PPO;Default
6.568939999999999779e-01;PPO;Default
8.446489999999999831e-01;PPO;Default
8.539599999999999969e-02;PPO;Default
7.716610000000000413e-01;PPO;Default
6.701519999999999699e-01;PPO;Default
6.613940000000000374e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
8.476550000000000473e-01;PPO;Default
1.031733999999999929e+00;PPO;Default
6.603940000000000365e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
6.595490000000000519e-01;PPO;Default
6.503940000000000277e-01;PPO;Default
8.187590000000000146e-01;PPO;Default
8.595439999999999747e-01;PPO;Default
6.528939999999999744e-01;PPO;Default
8.366740000000000288e-01;PPO;Default
8.456890000000000240e-01;PPO;Default
8.424350000000000449e-01;PPO;Default
6.523940000000000294e-01;PPO;Default
8.426439999999999486e-01;PPO;Default
6.568939999999999779e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
1.056770999999999905e+00;PPO;Default
2.293910000000000116e-01;PPO;Default
8.180680000000000174e-01;PPO;Default
8.426590000000000469e-01;PPO;Default
8.474190000000000333e-01;PPO;Default
6.578939999999999788e-01;PPO;Default
8.296130000000000448e-01;PPO;Default
8.443389999999999507e-01;PPO;Default
6.578939999999999788e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
6.543940000000000312e-01;PPO;Default
6.336610000000000298e-01;PPO;Default
