Reward;Algorithm;Hyperparameter
1.075034000000000045e+00;PPO;Optimized
1.046332999999999958e+00;PPO;Optimized
1.051096999999999948e+00;PPO;Optimized
8.499290000000000456e-01;PPO;Optimized
1.051533999999999969e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
8.489430000000000032e-01;PPO;Optimized
1.052033999999999914e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
1.045641999999999960e+00;PPO;Optimized
8.474530000000000118e-01;PPO;Optimized
1.052033999999999914e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
8.533340000000000369e-01;PPO;Optimized
1.050294999999999979e+00;PPO;Optimized
8.477799999999999780e-01;PPO;Optimized
8.543840000000000323e-01;PPO;Optimized
1.045813000000000104e+00;PPO;Optimized
1.051533999999999969e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
8.495420000000000194e-01;PPO;Optimized
1.051533999999999969e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
8.492589999999999861e-01;PPO;Optimized
8.494049999999999656e-01;PPO;Optimized
1.052534000000000081e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
8.458029999999999715e-01;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
8.434439999999999715e-01;PPO;Optimized
8.429870000000000418e-01;PPO;Optimized
1.051533999999999969e+00;PPO;Optimized
8.444359999999999644e-01;PPO;Optimized
8.441750000000000087e-01;PPO;Optimized
1.051533999999999969e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
8.482229999999999492e-01;PPO;Optimized
1.052534000000000081e+00;PPO;Optimized
8.445340000000000069e-01;PPO;Optimized
1.052033999999999914e+00;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
1.050569000000000086e+00;PPO;Optimized
1.043339999999999934e+00;PPO;Optimized
8.463439999999999852e-01;PPO;Optimized
1.051296999999999926e+00;PPO;Optimized
