rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/n_updates,train/learning_rate
25.55,511,0.9951454999999997,20,0.0366218,1,330,,,
26.875,1075,0.9897874999999996,40,0.028887600000000003,3,275,,,
34.36666666666667,2062,0.9804109999999999,60,0.03363013333333333,5,409,,,
30.9125,2473,0.9765065000000005,80,0.027299562500000003,5,452,,,
29.72,2972,0.9717660000000002,100,0.02972546,6,471,,,
30.9,3601,0.9657905000000003,120,0.029914430000000002,7,512,,,
30.6,4135,0.9607175,140,0.032273909999999996,7,562,,,
29.48,5010,0.9524050000000004,160,0.02846002,7,632,,,
29.95,5468,0.9480539999999997,180,0.028256040000000003,8,636,,,
30.65,6037,0.9426485000000004,200,0.02280352,10,570,,,
29.8,6581,0.9374805000000005,220,0.021089760000000003,11,589,,,
29.77,7112,0.9324359999999999,240,0.02016481,12,584,,,
29.47,7957,0.9244085000000001,260,0.02638962,13,591,,,
33.89,8857,0.9158584999999999,280,0.034756499999999996,14,615,,,
33.29,9366,0.9110230000000001,300,0.03791881,14,624,,,
33.12,9893,0.9060164999999997,320,0.03860004,15,633,,,
32.76,10388,0.9013140000000005,340,0.03567474,17,584,,,
34.68,11425,0.8914624999999998,360,0.035038299999999994,19,598,,,
33.72,12229,0.8838244999999996,380,0.031266119999999994,19,622,,,
33.45,12711,0.8792454999999998,400,0.029878470000000004,20,623,,,
33.54,13247,0.8741534999999999,420,0.029670629999999996,20,636,,,
35.36,13924,0.8677219999999995,440,0.030677500000000003,21,647,,,
37.71,15196,0.8556380000000001,460,0.03279388,22,671,,,
36.07,15836,0.8495580000000004,480,0.0318711,23,661,,,
36.9,16401,0.8441905000000001,500,0.03419498000000001,24,672,,,
37.66,17013,0.8383765000000005,520,0.034223659999999996,25,672,,,
36.45,17569,0.8330945000000005,540,0.038275960000000005,26,670,,,
28.18,18014,0.8288670000000002,560,0.027637420000000003,27,664,,,
26.14,18450,0.8247250000000004,580,0.026621299999999994,27,665,,,
26.62,19063,0.8189014999999995,600,0.028598409999999998,28,666,,,
27.8,19793,0.8119665000000005,620,0.02827195,29,676,,,
27.11,20280,0.8073400000000004,640,0.021368279999999996,30,673,,,
28.25,20839,0.8020294999999995,660,0.027474209999999995,30,672,,,
