time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,rollout/exploration_rate,train/n_updates,train/loss,train/learning_rate
3,0.030626350000000004,757,37.85,20,233,0.9928085,,,
5,0.03135765,1239,30.975,40,215,0.9882295000000001,,,
7,0.029275266666666664,1906,31.766666666666666,60,256,0.9818930000000003,,,
8,0.029186625,2419,30.2375,80,282,0.9770195000000005,,,
9,0.030390599999999997,3024,30.24,100,314,0.9712719999999998,,,
10,0.02995421,3595,28.38,120,335,0.9658474999999999,,,
12,0.030347710000000007,4180,29.41,140,344,0.9602900000000004,,,
13,0.034853550000000004,4735,28.29,160,350,0.9550174999999996,,,
15,0.03094642,5145,27.26,180,330,0.9511225000000004,,,
16,0.03239889,5811,27.87,200,343,0.9447954999999999,,,
18,0.03001051,6306,27.11,220,342,0.9400929999999997,,,
19,0.025848999999999997,6900,27.2,240,348,0.9344499999999999,,,
22,0.018011619999999996,7429,26.94,260,324,0.9294244999999999,,,
24,0.02623817,8100,29.55,280,328,0.92305,,,
27,0.025578749999999997,8803,29.92,300,321,0.9163714999999999,,,
29,0.028035920000000002,9238,29.32,320,316,0.9122390000000004,,,
31,0.030409560000000006,9716,28.16,340,307,0.9076980000000006,,,
33,0.03225083,10181,27.52,360,304,0.9032805,,,
37,0.03414386999999999,11189,30.89,380,297,0.8937045,,,
39,0.03520141999999999,11715,29.12,400,295,0.8887074999999998,,,
41,0.036502719999999995,12263,30.25,420,295,0.8835014999999998,,,
44,0.035682250000000006,12772,30.56,440,288,0.878666,,,
46,0.03614275,13296,31.15,460,283,0.8736880000000002,,,
49,0.027879809999999998,13887,26.98,480,281,0.8680735000000002,,,
51,0.02750283,14835,31.2,500,287,0.8590674999999997,,,
53,0.02184574,15300,30.37,520,284,0.8546500000000002,,,
56,0.02573416,15825,30.53,540,282,0.8496625000000002,,,
58,0.02486109,16339,30.43,560,277,0.8447795000000001,,,
60,0.02519546,16805,29.18,580,276,0.8403525000000004,,,
62,0.02520993,17436,26.01,600,281,0.8343579999999999,,,
63,0.026101350000000002,17938,26.38,620,284,0.8295889999999999,,,
66,0.02892865,18695,28.7,640,280,0.8223974999999999,,,
68,0.030802360000000008,19528,31.89,660,283,0.8144840000000001,,,
70,0.035118779999999995,20256,34.51,680,286,0.8075679999999995,,,
72,0.031077599999999997,20708,32.72,700,286,0.8032740000000005,,,
73,0.03292632000000001,21291,33.53,720,289,0.7977355000000005,,,
