time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
0,0.04373565,27.3,546,20,1902,0.9948129999999996,,,
0,0.05864015,37.425,1497,40,1530,0.9857785000000003,,,
1,0.05471568333333333,36.25,2175,60,1696,0.9793374999999996,,,
1,0.050101537499999994,35.85,2868,80,1472,0.9727540000000002,,,
2,0.044984010000000005,35.48,3548,100,1503,0.966294,,,
3,0.04319198,36.4,4186,120,1364,0.9602329999999998,,,
3,0.03293255999999999,32.05,4702,140,1267,0.9553310000000002,,,
4,0.03160169,31.55,5330,160,1298,0.9493650000000006,,,
4,0.029640589999999998,30.19,5887,180,1271,0.9440735000000002,,,
5,0.028113930000000002,28.82,6430,200,1283,0.9389149999999995,,,
5,0.02640408,26.97,6883,220,1301,0.9346115000000003,,,
5,0.028881059999999997,30.85,7787,240,1313,0.9260235000000001,,,
6,0.022215480000000003,28.87,8217,260,1339,0.9219384999999998,,,
6,0.022594610000000005,28.63,8750,280,1330,0.9168749999999997,,,
6,0.02628106,32.88,9718,300,1396,0.907679,,,
10,0.031034619999999995,35.99,10482,320,1006,0.9004210000000001,,,
10,0.028314679999999995,31.64,10951,340,1027,0.8959654999999996,,,
11,0.0312397,33.47,11564,360,1040,0.8901419999999998,,,
11,0.03187811,34.44,12194,380,1070,0.8841569999999996,,,
11,0.031057770000000002,30.79,12797,400,1085,0.8784285000000005,,,
12,0.022892199999999998,28.73,13355,420,1105,0.8731275,,,
12,0.02881483,36.81,14632,440,1156,0.8609960000000002,,,
12,0.02911044,37.01,15265,460,1180,0.8549825000000003,,,
13,0.030348659999999996,35.9,15784,480,1175,0.8500519999999998,,,
13,0.03457541,36.92,16489,500,1187,0.8433545000000002,,,
14,0.042108719999999995,37.94,17149,520,1192,0.8370845000000003,,,
14,0.034479649999999994,29.62,17594,540,1204,0.8328570000000001,,,
14,0.03732411,28.54,18119,560,1216,0.8278695,,,
15,0.037231410000000006,28.89,18673,580,1188,0.8226064999999996,,,
16,0.03401119,28.66,19355,600,1204,0.8161274999999999,,,
16,0.03029474,27.33,19882,620,1202,0.8111210000000004,,,
17,0.03514367000000001,28.55,20449,640,1201,0.8057344999999996,,,
17,0.03461974,29.05,21024,660,1195,0.8002719999999997,,,
18,0.033097850000000005,28.75,21548,680,1196,0.795294,,,
18,0.032672019999999996,27.83,22138,700,1209,0.7896890000000001,,,
18,0.03366455,28.51,22733,720,1217,0.7840365,,,
18,0.03146669,27.62,23211,740,1226,0.7794955000000002,,,
19,0.03128858,30.21,24045,760,1243,0.7715725000000002,,,
19,0.03340759,31.21,24669,780,1242,0.7656444999999995,,,
20,0.0341621,30.21,25159,800,1252,0.7609894999999997,,,
20,0.035114679999999995,30.1,25743,820,1265,0.7554415000000004,,,
20,0.03345272,29.61,26172,840,1272,0.7513660000000003,,,
20,0.029921609999999994,25.59,26604,860,1271,0.7472620000000004,,,
21,0.027628970000000003,23.62,27031,880,1276,0.7432054999999997,,,
21,0.028187880000000005,26.77,27836,900,1293,0.7355580000000003,,,
22,0.02614989,31.27,28870,920,1305,0.7257350000000005,,,
22,0.02979465,33.56,29528,940,1317,0.719484,,,
22,0.02873964,34.0,30004,960,1311,0.7149619999999998,,,
23,0.02731836,35.13,30544,980,1320,0.7098319999999999,,,
23,0.024214190000000007,33.73,31209,1000,1330,0.7035144999999996,,,
23,0.025581839999999998,30.74,31944,1020,1334,0.6965320000000004,,,
24,0.02375772,29.11,32439,1040,1337,0.6918295000000001,,,
24,0.02802029,30.82,33086,1060,1343,0.6856830000000005,,,
24,0.028688670000000003,30.47,33591,1080,1345,0.6808854999999996,,,
25,0.02733888,28.28,34037,1100,1348,0.6766485000000002,,,
25,0.02899798,30.21,34965,1120,1356,0.6678324999999998,,,
26,0.030076949999999995,30.13,35452,1140,1358,0.6632059999999997,,,
26,0.030857329999999995,29.77,36063,1160,1360,0.6574015000000004,,,
26,0.031246040000000006,34.73,37064,1180,1376,0.6478920000000001,,,
27,0.03305536,35.75,37612,1200,1375,0.6426860000000003,,,
27,0.031026969999999997,31.54,38119,1220,1380,0.6378694999999999,,,
28,0.03248761000000001,31.86,38638,1240,1379,0.6329390000000006,,,
28,0.03026438,31.12,39175,1260,1387,0.6278375000000005,,,
28,0.02642845,26.02,39666,1280,1391,0.6231730000000002,,,
28,0.022296770000000007,25.61,40173,1300,1391,0.6183564999999999,,,
29,0.02246765,27.02,40821,1320,1398,0.6122005000000001,,,
29,0.02098042,26.84,41322,1340,1393,0.6074410000000003,,,
30,0.02629148,30.61,42236,1360,1403,0.5987579999999996,,,
30,0.030236189999999996,30.08,42674,1380,1408,0.5945970000000002,,,
30,0.03204118,30.08,43181,1400,1404,0.5897804999999998,,,
30,0.029681739999999995,29.36,43757,1420,1412,0.5843084999999997,,,
31,0.030269930000000004,29.34,44256,1440,1418,0.5795680000000004,,,
31,0.026270629999999996,24.88,44724,1460,1423,0.5751220000000001,,,
31,0.02630764,25.63,45237,1480,1426,0.5702485000000004,,,
32,0.030455060000000006,25.5,45731,1500,1426,0.5655555000000003,,,
32,0.03116909,26.53,46410,1520,1417,0.5591050000000004,,,
33,0.028831729999999996,26.43,46899,1540,1414,0.5544594999999999,,,
33,0.03274701,27.8,47504,1560,1418,0.5487120000000001,,,
33,0.03505273,31.88,48425,1580,1426,0.5399624999999996,,,
34,0.03554727,32.71,49002,1600,1433,0.5344810000000002,,,
34,0.03274674,31.93,49603,1620,1439,0.5287715000000005,,,
38,0.031184000000000003,32.45,50144,1640,1291,0.5236320000000003,1.9070714918537712e-05,0.0001441684033125057,10
45,0.024085359999999997,30.86,50590,1660,1115,0.5193949999999998,1.9070714918537712e-05,9.104652654059464e-05,80
51,0.0195358,25.97,51022,1680,998,0.5152909999999999,1.9070714918537712e-05,9.298637905885698e-05,140
60,0.023051690000000003,27.09,51711,1700,852,0.5087455000000005,1.9070714918537712e-05,4.9229600199396374e-05,210
68,0.023507040000000003,25.24,52127,1720,762,0.5047934999999997,1.9070714918537712e-05,9.168824581138325e-05,280
74,0.025103499999999997,24.06,52550,1740,707,0.5007750000000002,1.9070714918537712e-05,9.486979779467219e-05,340
82,0.031186540000000002,27.08,53298,1760,645,0.49366900000000047,1.9070714918537712e-05,7.696376842432073e-05,410
91,0.03435112,30.35,54057,1780,591,0.4864584999999999,1.9070714918537712e-05,6.158585497360037e-05,480
97,0.02531308,28.27,54538,1800,558,0.48188900000000034,1.9070714918537712e-05,6.696121918139397e-05,540
105,0.02783472,29.58,55085,1820,523,0.47669249999999963,1.9070714918537712e-05,7.902212350927585e-05,610
112,0.034400810000000004,30.84,55634,1840,495,0.47147700000000037,1.9070714918537712e-05,7.269369525602088e-05,680
120,0.034390899999999995,30.06,56304,1860,469,0.46511199999999986,1.9070714918537712e-05,6.0372898951754904e-05,740
127,0.02989756,27.33,56790,1880,447,0.460495,1.9070714918537712e-05,4.19163749938889e-05,810
133,0.028708289999999997,27.18,57256,1900,429,0.45606800000000025,1.9070714918537712e-05,5.299319191180985e-05,880
