time/fps,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
407,0.025387100000000003,0.9955159999999997,20,1,23.6,472,,,
471,0.028638724999999997,0.9887234999999995,40,2,29.675,1187,,,
436,0.0281448,0.9840590000000005,60,3,27.966666666666665,1678,,,
487,0.0310982125,0.9791285,80,4,27.4625,2197,,,
530,0.03281558000000001,0.9735044999999997,100,5,27.89,2789,,,
493,0.03430256,0.9687165000000001,120,6,28.21,3293,,,
575,0.03371749,0.9587510000000004,140,7,31.55,4342,,,
539,0.03163035,0.9538869999999997,160,8,31.76,4854,,,
525,0.03246859,0.9474460000000002,180,10,33.35,5532,,,
557,0.03424592,0.9415939999999996,200,11,33.59,6148,,,
572,0.036802390000000004,0.9327780000000003,220,12,37.83,7076,,,
568,0.03780883,0.9226985000000005,240,14,37.95,8137,,,
568,0.041780559999999994,0.9184425000000005,260,15,37.31,8585,,,
576,0.039298910000000006,0.9136640000000001,280,15,35.56,9088,,,
599,0.037653650000000004,0.9069379999999998,300,16,36.48,9796,,,
610,0.03392997,0.9007250000000004,320,17,33.74,10450,,,
615,0.03679418,0.8935335000000003,340,18,30.7,11207,,,
626,0.034886429999999996,0.8884035000000005,360,18,31.62,11747,,,
633,0.03526928000000001,0.8842425,380,19,30.97,12185,,,
641,0.031767970000000006,0.8797395000000002,400,19,28.63,12659,,,
647,0.034553930000000004,0.8741534999999999,420,20,27.97,13247,,,
663,0.03287868,0.867114,440,21,27.81,13988,,,
679,0.03434703,0.8599700000000002,460,21,29.93,14740,,,
694,0.03502856000000001,0.8532059999999998,480,22,32.67,15452,,,
698,0.03313815,0.8487125000000003,500,22,32.66,15925,,,
701,0.03379187,0.8441049999999997,520,23,31.63,16410,,,
706,0.02950035,0.8383955000000001,540,24,30.23,17011,,,
704,0.02671323,0.8338925000000003,560,24,27.45,17485,,,
706,0.025424910000000002,0.8295034999999995,580,25,24.95,17947,,,
704,0.028681590000000003,0.8245065000000004,600,26,25.48,18473,,,
701,0.022649870000000003,0.819614,620,27,25.78,18988,,,
712,0.02779811,0.8089170000000003,640,28,31.03,20114,,,
705,0.029079870000000004,0.8016115000000001,660,29,33.98,20883,,,
705,0.03115151,0.7946669999999998,680,30,36.67,21614,,,
709,0.03271542,0.7901735000000003,700,31,36.14,22087,,,
711,0.03619870000000001,0.7845114999999999,720,31,36.95,22683,,,
720,0.03889884,0.7776144999999999,740,32,32.95,23409,,,
724,0.04182599000000001,0.7718194999999999,760,33,31.36,24019,,,
706,0.03483539,0.767421,780,34,28.68,24482,,,
711,0.031608399999999995,0.7625855000000001,800,35,29.04,24991,,,
712,0.031554210000000006,0.7581679999999997,820,35,27.73,25456,,,
715,0.027777419999999994,0.7533229999999995,840,36,25.57,25966,,,
719,0.027510499999999993,0.7468724999999998,860,37,26.26,26645,,,
715,0.03289257,0.7419514999999995,880,37,26.81,27163,,,
729,0.03299046,0.7326225000000002,900,38,31.54,28145,,,
732,0.035727180000000004,0.7243005000000003,920,39,35.65,29021,,,
731,0.029599769999999994,0.7180590000000002,940,40,37.12,29678,,,
732,0.02471598,0.7121309999999996,960,41,36.57,30302,,,
729,0.026305479999999996,0.7069440000000001,980,42,36.85,30848,,,
734,0.026004399999999997,0.7014435000000001,1000,42,32.82,31427,,,
736,0.02037755,0.6962755000000003,1020,43,29.5,31971,,,
736,0.02131414,0.6910695000000004,1040,44,28.41,32519,,,
734,0.02049293,0.6864050000000002,1060,44,27.08,33010,,,
736,0.01726154,0.6807145,1080,45,27.61,33609,,,
745,0.021949630000000005,0.6730764999999999,1100,46,29.86,34413,,,
752,0.02540074,0.6659325,1120,46,31.94,35165,,,
753,0.0275219,0.6605364999999999,1140,47,32.14,35733,,,
760,0.039238560000000006,0.6538105000000005,1160,47,34.31,36441,,,
763,0.04342425,0.648728,1180,48,33.67,36976,,,
770,0.039752609999999994,0.6419165000000002,1200,48,32.8,37693,,,
767,0.038891159999999994,0.6351715000000004,1220,50,32.38,38403,,,
771,0.041394189999999983,0.6270109999999999,1240,50,35.29,39262,,,
765,0.03240010000000001,0.6222419999999999,1260,51,33.23,39764,,,
