time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
0,1500,0.0271326,33.2,664,20,0.993692,,,
1,1052,0.022089475,27.575,1103,40,0.9895215000000004,,,
2,709,0.02367736666666666,28.2,1692,60,0.9839259999999997,,,
2,816,0.0211915375,27.3375,2187,80,0.9792234999999996,,,
3,886,0.022495970000000004,31.16,3116,100,0.970398,,,
4,868,0.02152308,29.46,3610,120,0.965705,,,
4,888,0.021527349999999997,29.97,4100,140,0.9610500000000001,,,
5,955,0.02528418,34.86,5178,160,0.9508089999999999,,,
6,870,0.029666,35.09,5696,180,0.9458879999999996,,,
7,924,0.03777398999999999,37.58,6874,200,0.9346969999999996,,,
8,929,0.039676020000000006,39.11,7521,220,0.9285505000000001,,,
8,951,0.040620340000000005,39.26,8026,240,0.9237530000000003,,,
8,958,0.03994257000000001,33.52,8530,260,0.9189649999999996,,,
9,930,0.04139985,35.5,9246,280,0.9121630000000003,,,
10,957,0.03491029,31.05,9979,300,0.9051995000000004,,,
11,942,0.035072849999999996,30.71,10592,320,0.8993759999999996,,,
12,943,0.04094649,33.29,11355,340,0.8921275,,,
13,905,0.03580136,33.37,11867,360,0.8872635000000004,,,
14,903,0.03842991,36.9,12936,380,0.8771080000000006,,,
16,846,0.03569573000000001,36.0,13579,400,0.8709994999999999,,,
16,839,0.03355938000000001,34.46,14038,420,0.866639,,,
17,838,0.024183560000000003,31.46,14501,440,0.8622405000000002,,,
18,795,0.028754390000000005,31.0,14967,460,0.8578135000000005,,,
19,794,0.024396110000000006,25.98,15534,480,0.8524269999999996,,,
20,799,0.024303549999999993,24.56,16035,500,0.8476674999999998,,,
21,782,0.024686760000000002,25.23,16561,520,0.8426704999999995,,,
21,795,0.03493850999999999,28.98,17399,540,0.8347094999999995,,,
23,771,0.03391922,30.55,18022,560,0.8287910000000002,,,
24,768,0.03137818,30.05,18539,580,0.8238795000000003,,,
24,770,0.035005999999999995,30.06,19041,600,0.8191105000000003,,,
25,774,0.03653184,31.32,19693,620,0.8129165000000004,,,
26,771,0.02874736,28.08,20207,640,0.8080335000000003,,,
26,776,0.02581036,28.2,20842,660,0.8020009999999997,,,
27,772,0.029572029999999992,29.59,21498,680,0.7957689999999998,,,
29,759,0.02759345,30.31,22072,700,0.7903160000000002,,,
29,754,0.02804132,28.73,22566,720,0.7856230000000002,,,
30,758,0.03211180999999999,28.52,23059,740,0.7809394999999996,,,
31,760,0.03680018,30.84,23926,760,0.772703,,,
32,761,0.032617959999999994,29.96,24494,780,0.7673069999999999,,,
