time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_fraction
1,2048,62,0.024357641791044778,30.492537313432837,32,,,,,,,,,,
2,4096,145,0.02692005,31.52,28,-0.09317415952682495,0.2,10,-0.9922311305999756,0.022180667,-0.031040749867679553,0.022665528124525734,-1.9378213118761778,0.0003,0.129150390625
3,6144,217,0.042162809999999995,33.64,28,-0.13181377947330475,0.2,20,-0.586749792098999,0.051961616,-0.08279639964457601,0.0015981170956365532,-1.9119954776018857,0.0003,0.385302734375
4,8192,284,0.05154592,35.57,28,-0.11780552566051483,0.2,30,-0.4170687198638916,0.06321944,-0.0918232748634182,0.0011209573315682064,-1.8812141828238964,0.0003,0.476806640625
5,10240,352,0.05529925999999999,38.67,29,-0.13313449919223785,0.2,40,0.11180442571640015,0.076164134,-0.09857779950834811,0.000881848038352473,-1.850056278705597,0.0003,0.521533203125
6,12288,436,0.06400256,36.99,28,-0.13149519264698029,0.2,50,0.2328842282295227,0.08717465,-0.0969767713570036,0.0007856080476813076,-1.8264528445899486,0.0003,0.535986328125
7,14336,510,0.0787988,38.13,28,-0.14299817383289337,0.2,60,0.3015027642250061,0.10208928,-0.1018432352313539,0.0007556349977676291,-1.780719918757677,0.0003,0.580615234375
8,16384,577,0.08006313000000001,36.32,28,-0.11391841620206833,0.2,70,0.40585774183273315,0.101821065,-0.10229005608998705,0.0006809472575696418,-1.784978687018156,0.0003,0.576318359375
9,18432,642,0.09267272000000001,38.19,28,-0.11451844871044159,0.2,80,0.4837573766708374,0.121813975,-0.0990202289831359,0.0006493518938441411,-1.7165592178702354,0.0003,0.58427734375
10,20480,718,0.09583921000000001,35.47,28,-0.1339581459760666,0.2,90,0.5567274689674377,0.14111501,-0.10537584639678244,0.0005301283325934491,-1.6595739383250474,0.0003,0.652880859375
11,22528,787,0.10032918000000002,35.62,28,-0.12603828310966492,0.2,100,0.5289020240306854,0.16218726,-0.10135507583036088,0.000621091137509211,-1.6173808503895999,0.0003,0.63203125
12,24576,865,0.10905301000000002,41.23,28,-0.13402056694030762,0.2,110,0.6150646209716797,0.1718637,-0.10171337259234861,0.0004980475056072464,-1.5594904575496913,0.0003,0.646826171875
13,26624,940,0.11675174000000002,43.89,28,-0.13205090165138245,0.2,120,0.5087450742721558,0.17794043,-0.10238621136231814,0.0006253578093492251,-1.5672750052064657,0.0003,0.644482421875
14,28672,1013,0.13363895999999997,50.0,28,-0.1104726642370224,0.2,130,0.49703872203826904,0.17188868,-0.10031875006388873,0.0006882650915031263,-1.5121384259313344,0.0003,0.63154296875
15,30720,1088,0.14879752999999998,59.8,28,-0.14073961973190308,0.2,140,0.4229244589805603,0.20090298,-0.10884749594843016,0.0007454924961166398,-1.5237692389637232,0.0003,0.66083984375
16,32768,1155,0.16312876000000004,72.07,28,-0.1324521154165268,0.2,150,0.4844437837600708,0.1993865,-0.10168819922255352,0.0006875387673972,-1.4967128500342368,0.0003,0.648388671875
17,34816,1220,0.18440626999999998,82.47,28,-0.14488418400287628,0.2,160,0.47894352674484253,0.26023564,-0.1071056291111745,0.0006498630049463827,-1.449759468063712,0.0003,0.679736328125
18,36864,1288,0.20888962,86.0,28,-0.1469787061214447,0.2,170,0.4470561742782593,0.2552679,-0.10804305991041474,0.0008445538375781326,-1.36411428488791,0.0003,0.67763671875
19,38912,1352,0.24294516000000005,92.83,28,-0.14074592292308807,0.2,180,0.3206251859664917,0.2983043,-0.10917409923567903,0.0011234426687224187,-1.2914384495466948,0.0003,0.660888671875
20,40960,1420,0.28306725000000005,96.65,28,-0.13829059898853302,0.2,190,0.3088145852088928,0.28963435,-0.1050301937648328,0.0012287282837860404,-1.299056339263916,0.0003,0.669384765625
21,43008,1479,0.32824889,97.14,29,-0.1421515792608261,0.2,200,0.34684908390045166,0.33320838,-0.10226842365809716,0.0013789218644888023,-1.1733411068096757,0.0003,0.65849609375
22,45056,1542,0.36073428999999996,105.56,29,-0.12895730137825012,0.2,210,0.23083209991455078,0.35356134,-0.10311261194292456,0.0016959108043010929,-1.1538620684295893,0.0003,0.633447265625
23,47104,1604,0.38198931,112.44,29,-0.1538364291191101,0.2,220,0.15320265293121338,0.3323543,-0.11010160316945986,0.0014778089430365071,-1.2374062851071357,0.0003,0.66318359375
24,49152,1682,0.41261184,124.83,29,-0.14492478966712952,0.2,230,0.30252206325531006,0.35853696,-0.10668475991114974,0.0015819653785911214,-1.1593977535143494,0.0003,0.661181640625
25,51200,1747,0.42157997999999997,123.77,29,-0.1476423740386963,0.2,240,0.3166273832321167,0.41891438,-0.10318106059567071,0.0013919725406594807,-1.1204227905720472,0.0003,0.655810546875
26,53248,1807,0.43352056000000005,125.37,29,-0.1291247308254242,0.2,250,0.32301563024520874,0.44504458,-0.10062455393490381,0.0018567840841569705,-1.048559882864356,0.0003,0.63154296875
27,55296,1867,0.44976999,132.01,29,-0.13262955844402313,0.2,260,0.3455330729484558,0.40172625,-0.10064563057385385,0.0016860262718182638,-1.0023906024172902,0.0003,0.63271484375
28,57344,1935,0.4632888399999999,138.46,29,-0.13574346899986267,0.2,270,0.37542372941970825,0.53068733,-0.0965673925995361,0.0014228791604182333,-0.9445942560210824,0.0003,0.619921875
29,59392,2002,0.44865998999999995,136.24,29,-0.14463476836681366,0.2,280,0.4432132840156555,0.5437608,-0.09646067090216093,0.0013791736445455173,-0.9271642373874783,0.0003,0.616552734375
30,61440,2065,0.46877678,146.67,29,-0.12457060068845749,0.2,290,0.4231202006340027,0.5290797,-0.09715488295187243,0.0013829619251737313,-0.9944334249943495,0.0003,0.635595703125
31,63488,2124,0.47565527,150.77,29,-0.13401442766189575,0.2,300,0.36605703830718994,0.5117929,-0.10763444041949696,0.0010895619908751542,-1.0247383402660488,0.0003,0.664892578125
32,65536,2199,0.48705444999999997,161.02,29,-0.13888601958751678,0.2,310,0.33882391452789307,0.5494256,-0.10077595698530786,0.001108337871301046,-0.9642860705032945,0.0003,0.65654296875
33,67584,2260,0.49635761,171.99,29,-0.13039036095142365,0.2,320,0.35081946849823,0.54037386,-0.10081366702797823,0.0009046987363035442,-0.9346182081848383,0.0003,0.639892578125
34,69632,2322,0.5074193300000001,181.55,29,-0.12543043494224548,0.2,330,0.4673212766647339,0.5549629,-0.09568416383990552,0.001064016988266303,-0.9108768505975604,0.0003,0.623828125
35,71680,2385,0.52060051,185.69,30,-0.135939821600914,0.2,340,0.5136899948120117,0.56818944,-0.09243240267969668,0.001021140592865777,-0.9496355937793851,0.0003,0.634326171875
36,73728,2452,0.52398637,188.42,30,-0.13208846747875214,0.2,350,0.39127117395401,0.5579817,-0.0972025569761172,0.0011706760273227702,-0.8795398546382784,0.0003,0.6185546875
37,75776,2524,0.5330591299999999,186.92,30,-0.14086104929447174,0.2,360,0.4273812770843506,0.6481884,-0.09536005105182994,0.0014378391117134016,-0.8508080760017037,0.0003,0.616943359375
38,77824,2599,0.54855701,191.96,29,-0.11712969094514847,0.2,370,0.406288206577301,0.5753857,-0.10036588757648132,0.0015766241412165983,-0.8622911714017392,0.0003,0.614306640625
39,79872,2672,0.5713931900000001,194.51,29,-0.13525159657001495,0.2,380,0.4456935524940491,0.7849547,-0.09981997031136416,0.001247431949195743,-0.8794911937788129,0.0003,0.62607421875
40,81920,2746,0.58930024,201.3,29,-0.1414802372455597,0.2,390,0.48680955171585083,0.6392281,-0.09752678822842427,0.001259296560419898,-0.8283260190859437,0.0003,0.623388671875
41,83968,2806,0.5818903,191.53,29,-0.12440001964569092,0.2,400,0.5296572148799896,0.66233814,-0.09834538353024982,0.0010804717423070543,-0.8455165669322013,0.0003,0.63466796875
42,86016,2868,0.59645016,195.09,29,-0.13234859704971313,0.2,410,0.4000299572944641,0.59117466,-0.0914125241280999,0.0013928801914516952,-0.7880774289369583,0.0003,0.598193359375
43,88064,2932,0.59333666,187.87,30,-0.13711223006248474,0.2,420,0.3810933828353882,0.7026187,-0.09651024482445791,0.0010620018722875102,-0.8235740887001157,0.0003,0.631689453125
44,90112,3007,0.5810621,177.85,29,-0.12516489624977112,0.2,430,0.38293200731277466,0.7138986,-0.09319043075665831,0.001432411057248828,-0.74160160664469,0.0003,0.599267578125
45,92160,3071,0.5559327499999999,164.02,30,-0.11529898643493652,0.2,440,0.27683329582214355,0.86499286,-0.09036165016586892,0.0018304984101632726,-0.6983091023750603,0.0003,0.570654296875
46,94208,3139,0.513504,136.49,30,-0.12468219548463821,0.2,450,0.2729640007019043,0.7214914,-0.09277486789505929,0.001916231353789044,-0.740860303491354,0.0003,0.582958984375
47,96256,3213,0.50658562,124.3,29,-0.09618896245956421,0.2,460,0.38840651512145996,0.7733844,-0.08941655408707447,0.001959724181870115,-0.6084698413498699,0.0003,0.5451171875
