time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/loss,train/value_loss,train/policy_gradient_loss
29,2048,29.761194029850746,1,0.026431298507462692,69,,,,,,,,,,
27,4096,34.49,2,0.03640745,148,-0.568419337272644,10,-1.9372804582118988,0.2,0.0003,0.1029296875,0.013247913,-0.0333498977124691,0.0331317443124135,-0.017873327911365776
28,6144,36.42,3,0.04024623,219,-0.29949796199798584,20,-1.9271206453442573,0.2,0.0003,0.26826171875,0.03560811,-0.10448112338781357,0.002060883436752192,-0.06431143944791984
28,8192,35.07,4,0.039521429999999996,287,-0.6666914224624634,30,-1.8963250808417798,0.2,0.0003,0.375439453125,0.04615758,-0.12606963515281677,0.0017237914216821082,-0.08345339242368936
28,10240,39.61,5,0.05032627999999999,354,-0.7266556024551392,40,-1.8666989762336015,0.2,0.0003,0.47763671875,0.058313236,-0.14611129462718964,0.0015146160299991606,-0.09523984991246834
27,12288,43.47,6,0.07121957,439,-0.34955036640167236,50,-1.8376818589866162,0.2,0.0003,0.5115234375,0.07319735,-0.14144375920295715,0.0013501943027222295,-0.09480647330638022
28,14336,49.33,7,0.07368127000000001,507,-0.10133016109466553,60,-1.8062899015843867,0.2,0.0003,0.517724609375,0.076388195,-0.12181425094604492,0.0011978721177001717,-0.09691155756299849
28,16384,64.5,8,0.08704323,572,-0.09042203426361084,70,-1.786198665574193,0.2,0.0003,0.5439453125,0.08814854,-0.12547574937343597,0.0008391329577534634,-0.09851197536336258
29,18432,76.71,9,0.10321464000000001,634,0.30724036693573,80,-1.7247482884675265,0.2,0.0003,0.554345703125,0.098844536,-0.13069021701812744,0.0005802643453534983,-0.0945540093263844
29,20480,89.33,10,0.11924614,705,0.4395484924316406,90,-1.6879424083977939,0.2,0.0003,0.5791015625,0.105871126,-0.14677736163139343,0.0005986148275042069,-0.09736956314882264
28,22528,95.57,11,0.13850940999999997,776,0.3688508868217468,100,-1.6418883759528398,0.2,0.0003,0.584228515625,0.116894506,-0.13704825937747955,0.0006096560477089952,-0.09589780787937344
28,24576,96.78,12,0.16711091000000003,847,0.38784778118133545,110,-1.5633793275803327,0.2,0.0003,0.61474609375,0.1440444,-0.12862706184387207,0.000869685276211385,-0.09959446965658572
29,26624,104.53,13,0.18038773000000002,911,0.432830810546875,120,-1.52083571664989,0.2,0.0003,0.610302734375,0.15772364,-0.14033029973506927,0.0009204861747093673,-0.10453450327913742
29,28672,114.16,14,0.19813575999999997,976,0.6389493644237518,130,-1.5186705101281404,0.2,0.0003,0.603857421875,0.16793062,-0.14834900200366974,0.0005553716795475338,-0.10123452509578783
29,30720,120.15,15,0.22519196,1042,0.5450859069824219,140,-1.4422309812158347,0.2,0.0003,0.61787109375,0.1761854,-0.13408151268959045,0.000736345440873265,-0.09902964031207376
