time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_range,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates
1,2048,45,33.88333333333333,45,0.0371555,,,,,,,,,,
2,4096,95,28.97,42,0.03690015,0.2,0.02163386531174183,-0.0029459004726959392,0.000259251,-1.943522861848275,0.0071391347,-4.954403400421143,0.11597829401944182,0.03466796875,3
3,6144,162,27.33,37,0.03767109,0.2,-0.006165817379951477,-0.007235070399474353,0.000259251,-1.9168356868127983,0.009560382,0.035781919956207275,0.0006006508723051714,0.11311848958333333,6
4,8192,244,27.45,33,0.04912599999999998,0.2,0.011399330571293831,-0.003961585238963987,0.000259251,-1.883479032665491,0.0056613637,0.07994574308395386,0.0005569759062685383,0.11051432291666667,9
5,10240,315,25.2,32,0.05597847000000001,0.2,-0.0411096066236496,-0.0059288651876462,0.000259251,-1.8081544513503711,0.009125099,-0.0354616641998291,0.0008703593190754569,0.11832682291666667,12
6,12288,383,25.39,32,0.07548386,0.2,-0.040038980543613434,-0.01899950808729045,0.000259251,-1.728988009194533,0.012660393,0.10581344366073608,0.0009038363626435361,0.19677734375,15
7,14336,451,25.31,31,0.08367057999999998,0.2,-0.019253568723797798,-0.018410174748472247,0.000259251,-1.6381721508999665,0.0125542125,0.23495370149612427,0.0010356816346757114,0.21305338541666666,18
8,16384,529,24.07,30,0.09193996999999998,0.2,-0.03431324660778046,-0.01753094660428663,0.000259251,-1.6124320055047672,0.011977609,0.22750324010849,0.0008032979564328949,0.15348307291666666,21
9,18432,598,22.29,30,0.09298023999999998,0.2,-0.013125010766088963,-0.011578779725823551,0.000259251,-1.6017760957280796,0.01642982,0.4718073010444641,0.0007120670046181962,0.22493489583333334,24
10,20480,670,26.0,30,0.09271702,0.2,-0.0362558513879776,-0.020725799729310285,0.000259251,-1.603635959327221,0.014883891,0.397638738155365,0.0008029704334452011,0.23160807291666666,27
11,22528,735,29.8,30,0.09657795,0.2,-0.027549928054213524,-0.018232362732912104,0.000259251,-1.6968759795029957,0.017949652,0.29107141494750977,0.00075763703443954,0.2021484375,30
12,24576,808,21.78,30,0.10568843000000001,0.2,-0.0382089838385582,-0.021395861976391945,0.000259251,-1.6648576731483142,0.01400424,0.36492544412612915,0.0007220376949893156,0.16097005208333334,33
13,26624,879,22.83,30,0.10289688999999999,0.2,-0.028226688504219055,-0.01589366977956767,0.000259251,-1.5025896752874057,0.015662158,0.5780563950538635,0.0006155377650429728,0.20377604166666666,36
14,28672,951,25.59,30,0.11088624999999999,0.2,-0.038830697536468506,-0.01812269178723606,0.000259251,-1.5569783585766952,0.018291617,0.5548658967018127,0.000693512624517704,0.21028645833333334,39
15,30720,1024,25.1,29,0.12321736,0.2,-0.015710288658738136,-0.008959038842779895,0.000259251,-1.5631891936063766,0.011550086,0.4182160496711731,0.0006329345393775535,0.15299479166666666,42
16,32768,1094,23.42,29,0.10988162999999998,0.2,-0.04408970847725868,-0.019495102140353993,0.000259251,-1.438492628435294,0.016721966,0.35018008947372437,0.0008155334053299157,0.19840494791666666,45
17,34816,1168,22.95,29,0.11747276999999999,0.2,-0.03978472203016281,-0.016358120202009257,0.000259251,-1.4492306274672349,0.01790992,0.25461214780807495,0.0008851111785285563,0.18245442708333334,48
18,36864,1231,28.99,29,0.12142179,0.2,-0.03323009982705116,-0.013258454244351014,0.000259251,-1.4354700110852718,0.0138689075,0.5450849533081055,0.0006615459784976944,0.17740885416666666,51
19,38912,1296,30.72,30,0.13286656,0.2,-0.039161957800388336,-0.015156511236758282,0.000259251,-1.4487703554332256,0.013196786,0.47233694791793823,0.0006345098527162918,0.14339192708333334,54
20,40960,1363,37.48,30,0.13875107,0.2,-0.044076282531023026,-0.014436596878416216,0.000259251,-1.3993079240123432,0.0150966905,0.4920843839645386,0.000742083381737757,0.1708984375,57
21,43008,1426,49.28,30,0.1462703,0.2,-0.023493656888604164,-0.013624097172093267,0.000259251,-1.4401387423276901,0.018330144,0.20436978340148926,0.0006749852365525536,0.18977864583333334,60
22,45056,1496,59.12,30,0.15786873999999998,0.2,-0.04345328360795975,-0.019242021400714293,0.000259251,-1.477854701379935,0.015952181,0.43368929624557495,0.0005324161406861094,0.16471354166666666,63
23,47104,1560,48.32,30,0.15039862,0.2,-0.023541826754808426,-0.01776649773819372,0.000259251,-1.4753179959952831,0.014285431,0.3969569802284241,0.0005992498319452958,0.17805989583333334,66
24,49152,1616,57.98,30,0.17075358999999996,0.2,-0.06650438904762268,-0.024000105646943364,0.000259251,-1.3957512279351552,0.018394498,0.45885980129241943,0.001029524074207681,0.21012369791666666,69
25,51200,1679,58.74,30,0.19064752000000001,0.2,-0.048380542546510696,-0.020401219817964982,0.000259251,-1.4441824033856392,0.01883583,-0.005104422569274902,0.0008988555294611918,0.23583984375,72
26,53248,1738,65.69,30,0.21081931,0.2,-0.031944844871759415,-0.019189570739399642,0.000259251,-1.4280443998674552,0.019468915,0.34174132347106934,0.0008378150514545268,0.21744791666666666,75
27,55296,1810,60.74,30,0.22473838000000002,0.2,-0.07345022261142731,-0.021014655261145283,0.000259251,-1.4219971324006717,0.026215559,0.35699546337127686,0.0009793981989787426,0.23828125,78
28,57344,1878,70.8,30,0.26720864000000005,0.2,-0.03604065999388695,-0.02396869598305784,0.000259251,-1.3032619928320248,0.023295293,0.31076157093048096,0.0011061789433976326,0.22119140625,81
29,59392,1937,67.6,30,0.2841411,0.2,-0.06133045628666878,-0.025976820441428572,0.000259251,-1.259323147435983,0.025932342,0.3146941065788269,0.0010444605807909586,0.24365234375,84
30,61440,2007,67.19,30,0.31556864000000007,0.2,-0.03719137981534004,-0.019297405320685357,0.000259251,-1.1985268369317055,0.027788663,0.39685338735580444,0.0010675554961684004,0.24723307291666666,87
